UsingIP,LongURL,ShortURL,Symbol@,HTTPS,PrefixSuffix-,RequestURL,label
-1,-1,-1,-1,1,-1,-1,0
1,-1,-1,-1,-1,-1,1,1
-1,-1,1,-1,-1,-1,1,1
-1,-1,-1,-1,1,-1,-1,0
-1,-1,-1,-1,-1,1,1,1
-1,-1,-1,-1,1,-1,1,1
-1,-1,-1,-1,-1,1,1,1
-1,-1,-1,1,-1,1,1,1
-1,-1,-1,-1,1,-1,-1,0
-1,-1,-1,-1,-1,1,1,1
-1,0,-1,-1,-1,1,1,1
-1,-1,-1,-1,1,-1,-1,0
-1,-1,-1,-1,-1,1,1,1
-1,-1,-1,-1,1,-1,-1,0
-1,-1,-1,-1,-1,1,1,1
-1,-1,-1,-1,1,-1,-1,0
-1,-1,-1,-1,-1,1,1,1
-1,0,-1,-1,-1,-1,1,1
-1,-1,-1,-1,1,-1,-1,0
-1,-1,1,-1,-1,-1,1,1
-1,-1,-1,-1,1,-1,-1,0
1,-1,-1,-1,-1,-1,1,1
-1,-1,1,-1,-1,-1,1,1
-1,-1,-1,-1,1,-1,-1,0
-1,-1,-1,-1,-1,1,1,1
-1,-1,-1,-1,1,-1,1,1
-1,-1,-1,-1,-1,1,1,1
-1,-1,-1,1,-1,1,1,1
-1,-1,-1,-1,1,-1,-1,0
-1,-1,-1,-1,-1,1,1,1
-1,0,-1,-1,-1,1,1,1
-1,-1,-1,-1,1,-1,-1,0
-1,-1,-1,-1,-1,1,1,1
-1,-1,-1,-1,1,-1,-1,0
-1,-1,-1,-1,-1,1,1,1
-1,-1,-1,-1,1,-1,-1,0
-1,-1,-1,-1,-1,1,1,1
-1,0,-1,-1,-1,-1,1,1
-1,-1,-1,-1,1,-1,-1,0
-1,-1,1,-1,-1,-1,1,1
-1,-1,-1,-1,1,-1,-1,0
1,-1,-1,-1,-1,-1,1,1
-1,-1,1,-1,-1,-1,1,1
-1,-1,-1,-1,1,-1,-1,0
-1,-1,-1,-1,-1,1,1,1
-1,-1,-1,-1,1,-1,1,1
-1,-1,-1,-1,-1,1,1,1
-1,-1,-1,1,-1,1,1,1
-1,-1,-1,-1,1,-1,-1,0
-1,-1,-1,-1,-1,1,1,1
-1,0,-1,-1,-1,1,1,1
-1,-1,-1,-1,1,-1,-1,0
-1,-1,-1,-1,-1,1,1,1
-1,-1,-1,-1,1,-1,-1,0
-1,-1,-1,-1,-1,1,1,1
-1,-1,-1,-1,1,-1,-1,0
-1,-1,-1,-1,-1,1,1,1
-1,0,-1,-1,-1,-1,1,1
-1,-1,-1,-1,1,-1,-1,0
-1,-1,1,-1,-1,-1,1,1
-1,-1,-1,-1,1,-1,-1,0
1,-1,-1,-1,-1,-1,1,1
-1,-1,1,-1,-1,-1,1,1
-1,-1,-1,-1,1,-1,-1,0
-1,-1,-1,-1,-1,1,1,1
-1,-1,-1,-1,1,-1,1,1
-1,-1,-1,-1,-1,1,1,1
-1,-1,-1,1,-1,1,1,1
-1,-1,-1,-1,1,-1,-1,0
-1,-1,-1,-1,-1,1,1,1
-1,0,-1,-1,-1,1,1,1
-1,-1,-1,-1,1,-1,-1,0
-1,-1,-1,-1,-1,1,1,1
-1,-1,-1,-1,1,-1,-1,0
-1,-1,-1,-1,-1,1,1,1
-1,-1,-1,-1,1,-1,-1,0
-1,-1,-1,-1,-1,1,1,1
-1,0,-1,-1,-1,-1,1,1
-1,-1,-1,-1,1,-1,-1,0
-1,-1,1,-1,-1,-1,1,1
-1,-1,-1,-1,1,-1,-1,0
1,-1,-1,-1,-1,-1,1,1
-1,-1,1,-1,-1,-1,1,1
-1,-1,-1,-1,1,-1,-1,0
-1,-1,-1,-1,-1,1,1,1
-1,-1,-1,-1,1,-1,1,1
-1,-1,-1,-1,-1,1,1,1
-1,-1,-1,1,-1,1,1,1
-1,-1,-1,-1,1,-1,-1,0
-1,-1,-1,-1,-1,1,1,1
-1,0,-1,-1,-1,1,1,1
-1,-1,-1,-1,1,-1,-1,0
-1,-1,-1,-1,-1,1,1,1
-1,-1,-1,-1,1,-1,-1,0
-1,-1,-1,-1,-1,1,1,1
-1,-1,-1,-1,1,-1,-1,0
-1,-1,-1,-1,-1,1,1,1
-1,0,-1,-1,-1,-1,1,1
-1,-1,-1,-1,1,-1,-1,0
-1,-1,1,-1,-1,-1,1,1
